GENESIS-Tabelle: 13111-001;;;;;;;
Sozialversicherungspflichtig Beschäftigte: Gemeinden,;;;;;;;
Beschäftigte am Arbeitsort/Beschäftigte am Wohnort,;;;;;;;
Stichtag (letzte 6);;;;;;;
Beschäftigungsstatistik;;;;;;;
;;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort
;;30.06.2011;30.06.2012;30.06.2013;30.06.2014;30.06.2015;30.06.2016
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09575119;      Dietersheim;410;434;437;458;469;513
09575121;      Emskirchen, M;1523;1578;1625;1613;1666;1685
09575122;      Ergersheim;1020;1084;1093;1136;1144;1161
09575124;      Gallmersgarten;97;102;97;101;99;92
09575125;      Gerhardshofen;301;314;305;315;313;311
09575127;      Gollhofen;133;133;139;250;271;284
09575128;      Gutenstetten;232;239;249;244;253;260
09575129;      Hagenbüchach;44;50;46;51;54;49
09575130;      Hemmersheim;68;70;66;65;74;73
09575133;      Illesheim;158;161;161;176;239;227
09575134;      Ippesheim, M;241;266;281;308;340;326
09575135;      Ipsheim, M;336;388;309;327;339;333
09575138;      Langenfeld;120;110;107;104;106;113
09575143;      Marktbergel, M;268;248;249;243;254;258
09575144;      Markt Bibart, M;430;432;467;496;535;590
09575145;      Markt Erlbach, M;904;900;951;981;1037;977
09575146;      Markt Nordheim, M;121;127;140;138;147;140
09575147;      Markt Taschendorf, M;151;156;167;166;176;169
09575150;      Münchsteinach;139;144;149;162;163;174
09575152;      Neuhof a.d.Zenn, M;172;209;191;216;227;222
09575153;      Neustadt a.d.Aisch, St;6273;6448;6648;6899;7112;7365
09575155;      Oberickelsheim;42;38;40;41;44;42
09575156;      Obernzenn, M;457;452;444;425;425;445
09575157;      Oberscheinfeld, M;114;128;127;125;128;133
09575161;      Scheinfeld, St;1252;1277;1250;1295;1254;1276
09575163;      Simmershofen;59;57;72;67;70;71
09575165;      Sugenheim, M;352;368;373;386;399;411
09575166;      Trautskirchen;124;119;129;147;164;190
09575167;      Uehlfeld, M;495;487;484;468;487;515
09575168;      Uffenheim, St;2538;2516;2535;2277;2407;2638
09575179;      Weigenheim;76;66;66;55;53;53
09575181;      Wilhelmsdorf;459;424;376;394;407;428
09575444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09576;    Roth (Lkr);32152;33227;33713;34554;35702;36648
09576111;      Abenberg, St;1055;1072;1121;1128;1214;1244
09576113;      Allersberg, M;1569;1650;1642;1718;1679;1702
09576117;      Büchenbach;824;865;851;915;928;915
09576121;      Georgensgmünd;2138;2282;2458;2603;2661;2637
09576122;      Greding, St;1663;1794;1784;1797;1800;1880
09576126;      Heideck, St;964;1000;1043;1041;1043;1062
09576127;      Hilpoltstein, St;4580;4676;4740;4977;5132;5374
09576128;      Kammerstein;627;650;627;628;675;698
09576132;      Schwanstetten, M;724;748;724;784;764;792
09576137;      Rednitzhembach;1344;1421;1470;1501;1644;1689
09576141;      Röttenbach;505;526;565;583;592;619
09576142;      Rohr;487;497;532;555;626;593
09576143;      Roth, St;9057;9318;9341;9500;9949;10213
09576147;      Spalt, St;998;1063;1103;1113;1164;1194
09576148;      Thalmässing, M;902;933;939;924;946;980
09576151;      Wendelstein, M;4715;4732;4773;4787;4885;5056
09576444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09577;    Weißenburg-Gunzenhausen (Lkr);28807;29776;30171;30812;31149;31925
09577111;      Absberg, M;746;759;740;786;805;829
09577113;      Alesheim;53;49;51;50;51;53
09577114;      Muhr a.See;147;155;212;222;257;255
09577115;      Bergen;109;111;108;116;125;118
09577120;      Burgsalach;120;109;114;119;115;125
09577122;      Dittenheim;228;239;246;262;275;293
09577125;      Ellingen, St;679;694;679;650;693;733
09577127;      Ettenstatt;96;96;96;92;95;89
09577133;      Gnotzheim, M;59;62;64;68;68;67
09577136;      Gunzenhausen, St;7335;7632;7894;8146;7857;8126
09577138;      Haundorf;155;162;164;164;171;176
09577140;      Heidenheim, M;331;356;356;383;394;407
09577141;      Höttingen;91;81;95;122;128;108
09577148;      Langenaltheim;292;307;305;308;329;351
09577149;      Markt Berolzheim, M;156;166;159;164;164;155
09577150;      Meinheim;77;77;79;83;85;90
09577151;      Nennslingen, M;244;255;215;220;241;242
09577158;      Pappenheim, St;1708;1770;1850;1905;1955;1952
09577159;      Pfofeld;158;177;166;171;173;181
09577161;      Pleinfeld, M;1452;1549;1640;1678;1728;1747
09577162;      Polsingen;787;787;788;771;788;786
09577163;      Raitenbuch;60;57;64;65;36;63
09577168;      Solnhofen;583;564;549;536;531;538
09577172;      Theilenhofen;53;65;58;67;76;71
09577173;      Treuchtlingen, St;3503;3624;3680;3626;3438;3401
09577177;      Weißenburg i.Bay., GKSt;9402;9680;9607;9819;10352;10740
09577179;      Westheim;183;193;192;219;219;229
096;  Unterfranken;473469;484098;484887;491710;497604;503546
09661;    Aschaffenburg (Krfr.St);46060;46805;43571;43949;44437;44583
09662;    Schweinfurt (Krfr.St);52895;53839;53740;54067;53642;53269
09663;    Würzburg (Krfr.St);79837;80847;82195;83762;85120;86468
09671;    Aschaffenburg (Lkr);46687;47681;48398;48541;48696;49418
09671111;      Alzenau, St;7638;7756;8046;8072;8311;8175
09671112;      Bessenbach;1557;1631;1775;1847;1901;2018
09671113;      Blankenbach;144;159;157;198;207;205
09671114;      Karlstein a.Main;3352;3462;3579;3302;3269;3399
09671119;      Geiselbach;335;231;260;216;230;230
09671120;      Glattbach;270;274;289;281;278;316
09671121;      Goldbach, M;2304;2334;2329;2380;2344;2378
09671122;      Großostheim, M;5819;5933;5900;5889;5388;5318
09671124;      Haibach;1393;1473;1512;1511;1562;1526
09671126;      Heigenbrücken;209;206;208;206;209;214
09671127;      Heimbuchenthal;397;400;424;431;424;436
09671128;      Heinrichsthal;73;68;71;72;74;75
09671130;      Hösbach, M;3489;3543;3557;3593;3836;4094
09671133;      Johannesberg;228;230;221;251;262;268
09671134;      Kahl a.Main;2072;2075;2080;2056;2025;2009
09671135;      Kleinkahl;126;123;131;150;106;105
09671136;      Kleinostheim;3724;3845;3901;3969;4137;4139
09671138;      Krombach;287;289;317;389;373;368
09671139;      Laufach;1113;1111;1133;1146;1202;1246
09671140;      Mainaschaff;1895;1914;1955;1985;2050;2215
09671141;      Mespelbrunn;201;199;210;209;209;204
09671143;      Mömbris, M;1750;1732;1731;1761;1642;1657
09671148;      Rothenbuch;206;212;208;208;181;183
09671150;      Sailauf;1362;1447;1476;1524;1553;1544
09671152;      Schöllkrippen, M;1070;1087;1086;1133;1135;1211
09671153;      Sommerkahl;106;109;101;110;117;113
09671155;      Stockstadt a.Main, M;3803;4017;3976;3896;3957;3999
09671156;      Waldaschaff;1103;1130;1053;1053;1001;1027
09671157;      Weibersbrunn;287;302;313;295;286;297
09671159;      Westerngrund;91;90;93;97;99;108
09671160;      Dammbach;150;155;159;164;180;180
09671162;      Wiesen;133;144;147;147;148;161
09671444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09672;    Bad Kissingen (Lkr);30885;31386;31552;31920;32754;33337
09672111;      Aura a.d.Saale;72;74;78;87;72;73
09672112;      Bad Bocklet, M;1373;1431;1451;1521;1624;1651
09672113;      Bad Brückenau, St;3321;3345;3367;3284;3398;3468
09672114;      Bad Kissingen, GKSt;10203;10331;10362;10470;10711;10908
09672117;      Burkardroth, M;866;866;888;860;882;935
09672121;      Elfershausen, M;688;722;707;714;734;713
09672122;      Euerdorf, M;526;544;562;593;618;638
09672124;      Fuchsstadt;274;285;284;292;279;291
09672126;      Geroda, M;64;60;61;62;58;62
09672127;      Hammelburg, St;4170;4122;4181;4307;4342;4297
09672131;      Maßbach, M;443;471;470;472;494;508
09672134;      Motten;367;385;384;396;421;430
09672135;      Münnerstadt, St;2632;2762;2717;2680;2743;2729
09672136;      Nüdlingen;743;791;810;837;853;888
09672138;      Oberleichtersbach;716;751;763;772;795;899
09672139;      Oberthulba, M;1043;1066;1060;1106;1084;1060
09672140;      Oerlenbach;940;955;974;973;1099;1213
09672142;      Ramsthal;51;54;56;59;59;60
09672143;      Rannungen;85;86;88;87;83;85
09672145;      Riedenberg;137;134;140;141;140;156
09672149;      Schondra, M;381;362;358;389;405;394
09672155;      Sulzthal, M;29;32;31;33;35;37
09672157;      Thundorf i.UFr.;177;162;165;173;171;168
09672161;      Wartmannsroth;208;221;229;220;232;227
09672163;      Wildflecken, M;1070;1085;1079;1089;1074;1093
09672166;      Zeitlofs, M;306;289;287;303;348;354
09672444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09673;    Rhön-Grabfeld (Lkr);28945;29545;29605;30274;30437;30814
09673113;      Aubstadt;22;.;17;20;31;46
09673114;      Bad Neustadt a.d.Saale, St;14878;14991;14872;15404;15487;15708
09673116;      Bastheim;467;456;411;411;421;432
09673117;      Bischofsheim a.d.Rhön, St;1020;1022;998;1037;1096;1085
09673123;      Fladungen, St;400;390;404;417;417;410
09673126;      Großbardorf;185;201;218;231;240;259
09673127;      Großeibstadt;174;174;155;153;156;145
09673129;      Hausen;255;278;280;300;298;303
09673130;      Hendungen;138;140;135;158;163;155
09673131;      Herbstadt;.;52;.;54;54;55
09673133;      Heustreu;168;163;167;162;156;167
09673134;      Höchheim;102;95;88;88;101;111
09673135;      Hohenroth;377;386;394;382;370;361
09673136;      Hollstadt;108;118;93;80;59;.
09673141;      Bad Königshofen i.Grabfeld, St;2346;2481;2505;2491;2541;2611
09673142;      Mellrichstadt, St;2937;3218;3323;3468;3421;3345
09673146;      Niederlauer;602;611;664;643;580;616
09673147;      Nordheim v.d.Rhön;242;189;194;197;196;196
09673149;      Oberelsbach, M;273;284;295;285;305;308
09673151;      Oberstreu;96;75;78;80;87;102
09673153;      Ostheim v.d.Rhön, St;708;718;714;721;706;753
09673156;      Rödelmaier;164;176;189;176;172;163
09673160;      Saal a.d.Saale, M;303;306;296;290;290;296
09673161;      Salz;794;873;914;914;1021;1059
09673162;      Sandberg;161;164;164;173;180;197
09673163;      Schönau a.d.Brend;130;127;104;107;112;122
09673167;      Sondheim v.d.Rhön;222;212;203;196;204;205
09673170;      Stockheim;84;80;79;74;73;64
09673171;      Strahlungen;49;49;55;55;59;67
09673172;      Sulzdorf a.d.Lederhecke;212;218;224;201;158;161
09673173;      Sulzfeld;275;285;303;314;294;303
09673174;      Trappstadt, M;.;.;.;176;175;.
09673175;      Unsleben;322;299;296;286;265;234
09673182;      Willmars;69;67;73;72;75;75
09673183;      Wollbach;91;90;94;94;103;93
09673184;      Wülfershausen a.d.Saale;211;209;213;220;230;233
09673186;      Burglauer;145;148;149;144;141;143
09673444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09674;    Haßberge (Lkr);23954;24458;24587;25465;26006;26602
09674111;      Aidhausen;119;129;129;125;129;149
09674118;      Breitbrunn;47;43;45;49;50;57
09674120;      Bundorf;55;55;51;59;55;48
09674121;      Burgpreppach, M;199;202;199;195;193;196
09674129;      Ebelsbach;591;546;532;564;545;571
09674130;      Ebern, St;3900;3967;3931;3966;3942;4047
09674133;      Eltmann, St;2015;1989;1936;2047;2140;2148
09674139;      Gädheim;48;50;58;43;49;60
09674147;      Haßfurt, St;6655;6717;6830;7386;7553;7821
09674149;      Hofheim i.UFr., St;1875;1982;2021;2053;2141;2134
09674153;      Riedbach;79;77;80;73;78;76
09674159;      Oberaurach;588;606;619;552;558;565
09674160;      Kirchlauter;85;87;89;87;94;95
09674163;      Knetzgau;1508;1549;1585;1658;1672;1789
09674164;      Königsberg i.Bay., St;1671;1787;1849;1892;1946;1975
09674171;      Maroldsweisach, M;981;1045;1030;1050;1041;1009
09674180;      Theres;317;334;331;336;346;349
09674184;      Pfarrweisach;106;113;107;120;118;122
09674187;      Rauhenebrach;246;217;241;281;329;334
09674190;      Rentweinsdorf, M;53;56;54;58;58;64
09674195;      Sand a.Main;359;344;328;326;369;378
09674201;      Stettfeld;100;103;110;121;127;140
09674210;      Untermerzbach;934;1030;1054;1033;1037;1011
09674219;      Wonfurt;226;220;212;225;221;232
09674221;      Zeil a.Main, St;1159;1160;1121;1120;1165;1181
09674223;      Ermershausen;38;50;45;46;50;51
09675;    Kitzingen (Lkr);27937;29040;29473;29955;30336;30993
09675111;      Abtswind, M;479;504;523;552;563;583
09675112;      Albertshofen;345;384;371;400;403;431
09675113;      Biebelried;126;131;131;126;136;135
09675114;      Buchbrunn;143;137;141;135;128;113
09675116;      Castell;118;110;122;120;143;137
09675117;      Dettelbach, St;1684;1738;1848;1898;1918;1966
09675127;      Geiselwind, M;674;693;679;676;686;682
09675131;      Großlangheim, M;330;314;306;275;251;239
09675139;      Iphofen, St;2347;2442;2593;2742;2851;2846
09675141;      Kitzingen, GKSt;10650;11125;11184;11367;11605;11715
09675142;      Kleinlangheim, M;178;183;183;179;198;213
09675144;      Mainbernheim, St;318;307;307;306;302;294
09675146;      Mainstockheim;182;184;192;202;211;210
09675147;      Marktbreit, St;1466;1476;1509;1461;1478;1641
09675148;      Markt Einersheim, M;841;845;857;832;833;863
09675149;      Marktsteft, St;421;444;457;485;494;522
09675150;      Martinsheim;37;44;.;50;50;57
09675155;      Nordheim a.Main;166;167;168;157;177;179
09675156;      Obernbreit, M;149;161;164;184;182;179
09675158;      Prichsenstadt, St;629;727;747;783;750;754
09675161;      Rödelsee;228;217;199;199;212;238
09675162;      Rüdenhausen, M;146;141;131;110;116;131
09675165;      Schwarzach a.Main, M;1470;1612;1640;1692;1523;1558
09675166;      Segnitz;83;96;92;95;95;103
09675167;      Seinsheim, M;11;11;.;10;12;14
09675169;      Sommerach;147;152;150;146;162;160
09675170;      Sulzfeld a.Main;119;115;113;116;120;125
09675174;      Volkach, St;2403;2476;2515;2519;2561;2617
09675177;      Wiesenbronn;196;207;208;218;232;250
09675178;      Wiesentheid, M;1731;1774;1786;1816;1840;1935
09675179;      Willanzheim, M;120;123;101;104;104;103
09676;    Miltenberg (Lkr);37715;38800;39252;39843;40655;41429
09676111;      Altenbuch;110;109;119;116;117;125
09676112;      Amorbach, St;1401;1395;1408;1417;1423;1427
09676116;      Bürgstadt, M;1570;1566;1599;1660;1724;1795
09676117;      Collenberg;641;677;708;714;703;714
09676118;      Dorfprozelten;864;837;817;819;866;920
09676119;      Eichenbühl;289;280;280;274;284;286
09676121;      Elsenfeld, M;1990;2113;2128;2186;2276;2260
09676122;      Erlenbach a.Main, St;1898;1996;1933;1925;1929;2037
09676123;      Eschau, M;582;587;624;618;617;646
09676124;      Faulbach;796;778;757;738;766;803
09676125;      Großheubach, M;1149;1206;1237;1271;1354;1442
09676126;      Großwallstadt;2236;2400;2534;2636;2715;2764
09676128;      Hausen;63;64;69;68;74;78
09676131;      Kirchzell, M;198;213;216;229;224;195
09676132;      Kleinheubach, M;1970;2125;2265;2400;2437;2531
09676133;      Kleinwallstadt, M;1202;1131;1114;1066;1039;1130
09676134;      Klingenberg a.Main, St;3759;3931;3999;4067;4070;3962
09676135;      Laudenbach;238;243;240;252;254;268
09676136;      Leidersbach;469;492;507;520;527;535
09676139;      Miltenberg, St;4221;4294;4304;4402;4604;4761
09676140;      Mömlingen;732;720;687;697;712;725
09676141;      Mönchberg, M;238;255;254;289;286;291
09676143;      Neunkirchen;142;153;163;155;235;200
09676144;      Niedernberg;1841;1966;2042;2174;2266;2312
09676145;      Obernburg a.Main, St;5863;5889;5847;5713;5711;5720
09676151;      Röllbach;155;171;180;180;182;186
09676153;      Rüdenau;37;46;39;32;40;43
09676156;      Schneeberg, M;377;391;359;296;305;293
09676158;      Stadtprozelten, St;142;132;138;137;143;155
09676160;      Sulzbach a.Main, M;824;854;881;900;920;917
09676165;      Weilbach, M;604;642;657;733;725;751
09676169;      Wörth a.Main, St;1114;1144;1147;1159;1127;1157
09676444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09677;    Main-Spessart (Lkr);43022;44250;44489;44491;45196;45274
09677114;      Arnstein, St;1771;1844;1809;1766;1791;1845
09677116;      Aura i.Sinngrund;177;207;243;263;296;292
09677119;      Birkenfeld;178;192;188;176;176;188
09677120;      Bischbrunn;83;86;93;91;94;100
09677122;      Burgsinn, M;343;337;341;346;360;355
09677125;      Erlenbach b.Marktheidenfeld;264;269;270;286;305;300
09677126;      Esselbach;252;265;263;273;280;281
09677127;      Eußenheim;251;264;257;249;263;265
09677128;      Fellen;143;90;89;90;91;89
09677129;      Frammersbach, M;1084;1151;1195;1235;1263;1343
09677131;      Gemünden a.Main, St;2693;2844;2811;2789;2853;2849
09677132;      Gössenheim;315;312;317;173;179;277
09677133;      Gräfendorf;99;96;105;102;98;105
09677135;      Hafenlohr;461;462;461;465;472;474
09677137;      Hasloch;462;493;456;499;250;258
09677142;      Himmelstadt;170;202;189;192;167;172
09677146;      Karbach, M;97;95;101;110;109;112
09677148;      Karlstadt, St;4298;4430;4538;4598;4559;4531
09677149;      Karsbach;84;96;95;90;81;74
09677151;      Kreuzwertheim, M;1615;1652;1721;1811;2206;2131
09677154;      Triefenstein, M;894;900;902;890;747;749
09677155;      Lohr a.Main, St;13943;14467;14389;13781;13746;13423
09677157;      Marktheidenfeld, St;9515;9570;9748;10135;10575;10739
09677159;      Mittelsinn;114;118;112;113;123;123
09677164;      Neuendorf;174;163;155;155;144;148
09677165;      Neuhütten;91;84;80;79;87;89
09677166;      Neustadt a.Main;64;67;73;77;100;98
09677169;      Obersinn, M;40;45;45;52;52;70
09677170;      Partenstein;450;487;448;471;493;470
09677172;      Rechtenbach;23;23;24;26;24;25
09677175;      Retzstadt;73;71;72;81;76;81
09677177;      Rieneck, St;273;257;256;263;260;254
09677178;      Roden;116;118;114;129;83;79
09677181;      Rothenfels, St;87;89;92;88;84;85
09677182;      Schollbrunn;96;104;99;107;126;119
09677186;      Steinfeld;366;382;364;365;365;357
09677189;      Thüngen, M;376;376;375;383;366;366
09677193;      Urspringen;106;118;124;125;123;127
09677200;      Wiesthal;367;405;414;417;427;441
09677203;      Zellingen, M;1014;1019;1061;1150;1302;1390
09677444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09678;    Schweinfurt (Lkr);21484;22116;22506;23112;23382;23945
09678115;      Bergrheinfeld;587;583;611;608;590;651
09678122;      Dingolshausen;177;178;190;194;199;214
09678123;      Dittelbrunn;446;477;483;501;499;518
09678124;      Donnersdorf;463;490;519;530;518;531
09678128;      Euerbach;425;478;494;533;529;564
09678130;      Frankenwinheim;85;98;97;106;109;114
09678132;      Geldersheim;299;321;330;354;367;373
09678134;      Gerolzhofen, St;2953;3008;3092;3238;3253;3341
09678135;      Gochsheim;2408;2525;2605;2552;2689;2767
09678136;      Grafenrheinfeld;1490;1569;1597;1604;1584;1613
09678138;      Grettstadt;413;424;409;406;418;415
09678150;      Kolitzheim;901;929;958;941;815;730
09678153;      Lülsfeld;199;209;.;.;.;.
09678157;      Michelau i.Steigerwald;21;25;.;.;.;.
09678160;      Niederwerrn;506;512;538;535;536;546
09678164;      Oberschwarzach, M;99;103;107;114;102;103
09678168;      Poppenhausen;488;482;485;499;449;456
09678170;      Röthlein;1211;1305;1295;1447;1555;1661
09678174;      Schonungen;698;742;749;779;796;827
09678175;      Schwanfeld;236;256;264;267;308;299
09678176;      Schwebheim;849;890;906;1021;989;1072
09678178;      Sennfeld;2001;1975;1975;1940;2013;2082
09678181;      Stadtlauringen, M;777;723;727;733;766;763
09678183;      Sulzheim;133;132;128;135;145;156
09678186;      Üchtelhausen;151;192;185;187;178;200
09678190;      Waigolshausen;181;163;159;173;175;154
09678192;      Wasserlosen;206;186;194;149;152;151
09678193;      Werneck, M;2795;2857;2921;3081;3140;3133
09678196;      Wipfeld;286;284;277;266;283;279
09678444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09679;    Würzburg (Lkr);34048;35331;35519;36331;36943;37414
09679114;      Aub, St;419;398;393;415;415;419
09679117;      Bergtheim;504;506;540;580;628;487
09679118;      Bieberehren;26;23;25;36;28;33
09679122;      Bütthard, M;168;158;144;158;169;159
09679124;      Eibelstadt, St;838;885;1029;1080;1102;1116
09679126;      Eisingen;1557;1620;1248;1300;1329;1357
09679128;      Erlabrunn;65;66;69;68;68;57
09679130;      Estenfeld;708;769;1184;1203;1345;1455
09679131;      Frickenhausen a.Main, M;121;127;133;132;129;135
09679134;      Gaukönigshofen;205;206;207;230;234;246
09679135;      Gelchsheim, M;122;107;100;94;87;85
09679136;      Gerbrunn;872;874;910;927;941;930
09679137;      Geroldshausen;97;90;94;89;99;103
09679138;      Giebelstadt, M;2096;2320;2387;2439;2674;2627
09679141;      Greußenheim;454;508;544;536;561;570
09679142;      Güntersleben;347;315;323;341;368;389
09679143;      Hausen b.Würzburg;379;411;426;474;497;469
09679144;      Helmstadt, M;603;576;552;580;553;538
09679146;      Hettstadt;225;253;244;249;259;274
09679147;      Höchberg, M;2330;2380;2048;2048;2097;2143
09679149;      Holzkirchen;.;47;66;75;77;80
09679153;      Kirchheim;322;315;345;335;407;383
09679154;      Kist;412;413;412;388;366;380
09679155;      Kleinrinderfeld;257;266;267;268;261;258
09679156;      Kürnach;936;1000;917;945;1009;1052
09679161;      Margetshöchheim;258;284;264;281;266;319
09679164;      Neubrunn, M;258;265;276;268;264;299
09679165;      Altertheim;99;109;113;114;118;123
09679167;      Eisenheim, M;69;70;70;71;65;75
09679169;      Oberpleichfeld;83;83;85;90;87;82
09679170;      Ochsenfurt, St;3608;3562;3671;3891;3931;3898
09679174;      Prosselsheim;.;22;23;24;28;27
09679175;      Randersacker, M;266;280;289;296;312;370
09679176;      Reichenberg, M;713;799;814;865;962;955
09679177;      Remlingen, M;259;262;265;263;308;314
09679179;      Riedenheim;50;54;52;52;53;59
09679180;      Rimpar, M;1310;1382;1319;1350;1386;1448
09679182;      Röttingen, St;1045;1070;1059;1089;1108;1093
09679185;      Rottendorf;3919;4096;4244;4363;4429;4528
09679187;      Sommerhausen, M;218;222;212;236;262;267
09679188;      Sonderhofen;102;99;94;87;89;74
09679192;      Tauberrettersheim;24;26;27;28;35;42
09679193;      Theilheim;143;145;114;117;116;118
09679194;      Thüngersheim;295;299;298;290;310;328
09679196;      Uettingen;281;312;309;283;292;304
09679200;      Leinach;239;225;241;248;261;245
09679201;      Unterpleichfeld;382;417;450;465;490;524
09679202;      Veitshöchheim;3417;3515;3517;3511;3583;3680
09679204;      Waldbrunn;871;974;979;999;298;319
09679205;      Waldbüttelbrunn;1299;1360;1400;1347;1357;1367
09679206;      Winterhausen, M;95;109;103;105;114;116
09679209;      Zell a.Main, M;620;657;624;608;716;695
09679444;      Gemeindefreie Gebiete;-;-;-;-;-;-
097;  Schwaben;630469;648940;661293;676719;689862;704222
09761;    Augsburg (Krfr.St);128484;131659;133341;135546;137799;140295
09762;    Kaufbeuren (Krfr.St);15831;16291;16536;16978;17178;17674
09763;    Kempten (Allgäu) (Krfr.St);34836;35632;35898;36524;37389;37853
09764;    Memmingen (Krfr.St);27683;28669;28903;29276;29408;29628
09771;    Aichach-Friedberg (Lkr);30229;31371;31721;32349;33092;33970
09771111;      Adelzhausen;200;197;211;224;231;255
09771112;      Affing;1032;1096;1126;1144;1199;1245
09771113;      Aichach, St;6829;6841;7053;7336;7816;7825
09771114;      Aindling, M;713;752;776;793;801;772
09771122;      Dasing;1438;1456;1507;1516;1439;1454
09771129;      Eurasburg;219;218;235;268;266;264
09771130;      Friedberg, St;10571;11175;10814;10929;11016;11482
09771140;      Hollenbach;359;403;418;470;505;521
09771141;      Inchenhofen, M;257;279;381;276;303;316
09771142;      Kissing;2213;2340;2405;2399;2486;2513
09771144;      Kühbach, M;811;819;854;864;874;912
09771145;      Merching;507;529;541;571;584;595
09771146;      Mering, M;2112;2143;2147;2258;2218;2305
09771149;      Obergriesbach;155;165;182;195;224;216
09771155;      Petersdorf;87;81;87;94;92;102
09771156;      Pöttmes, M;1104;1169;1234;1257;1293;1358
09771158;      Rehling;333;355;369;373;412;423
09771160;      Ried;311;371;410;452;370;380
09771162;      Schiltberg;121;139;137;139;156;156
09771163;      Schmiechen;39;48;52;56;51;42
09771165;      Sielenbach;160;170;164;130;146;153
09771168;      Steindorf;69;76;80;85;86;97
09771169;      Todtenweis;272;234;244;264;266;283
09771176;      Baar (Schwaben);317;315;294;256;258;301
09772;    Augsburg (Lkr);59246;63231;65485;66395;67625;70062
09772111;      Adelsried;487;479;484;465;466;477
09772114;      Allmannshofen;182;224;232;236;261;246
09772115;      Altenmünster;439;463;494;549;557;584
09772117;      Aystetten;189;177;183;176;181;197
09772121;      Biberbach, M;172;175;170;177;225;236
09772125;      Bobingen, St;4596;4766;4985;5027;5060;5415
09772126;      Bonstetten;77;60;59;62;59;69
09772130;      Diedorf, M;1748;1897;1970;2036;2098;2120
09772131;      Dinkelscherben, M;1024;1035;1020;987;1004;1033
09772134;      Ehingen;23;.;24;23;21;25
09772136;      Ellgau;125;137;145;158;154;177
09772137;      Emersacker;215;237;243;244;231;250
09772141;      Fischach, M;2015;2022;2043;2111;2131;2199
09772145;      Gablingen;572;567;564;494;533;582
09772147;      Gersthofen, St;11877;12453;12664;12883;13297;13800
09772148;      Gessertshausen;515;545;541;565;561;595
09772149;      Graben;311;2173;.;2765;2393;2603
09772151;      Großaitingen;563;599;636;662;688;699
09772156;      Heretsried;41;.;.;19;22;26
09772157;      Hiltenfingen;95;98;94;111;121;128
09772159;      Horgau;492;493;516;517;568;552
09772160;      Kleinaitingen;233;238;265;279;300;443
09772162;      Klosterlechfeld;141;151;152;160;211;213
09772163;      Königsbrunn, St;6142;6205;6458;6555;6685;6766
09772166;      Kühlenthal;37;38;44;47;51;49
09772167;      Kutzenhausen;633;634;652;666;641;647
09772168;      Langenneufnach;655;674;678;674;661;665
09772170;      Langerringen;461;481;501;500;521;605
09772171;      Langweid a.Lech;1495;1583;1624;1692;1757;1843
09772177;      Meitingen, M;3909;4038;4109;4184;4199;4285
09772178;      Mickhausen;229;251;248;250;230;235
09772179;      Mittelneufnach;101;104;118;118;121;118
09772184;      Neusäß, St;4657;4906;4789;4919;5175;5427
09772185;      Nordendorf;267;262;272;343;347;386
09772186;      Oberottmarshausen;109;113;113;121;119;124
09772197;      Scherstetten;78;70;69;67;66;69
09772200;      Schwabmünchen, St;5022;4913;5071;5261;5207;5227
09772202;      Stadtbergen, St;3025;3215;3341;3362;3438;3480
09772207;      Thierhaupten, M;866;1019;1058;1035;1065;1071
09772209;      Untermeitingen;1338;1319;1333;1287;1392;1378
09772211;      Ustersbach;205;200;208;207;221;225
09772214;      Walkertshofen;103;109;116;132;120;112
09772215;      Wehringen;532;566;584;625;664;683
09772216;      Welden, M;556;572;558;598;627;618
09772217;      Westendorf;355;350;393;411;410;425
09772223;      Zusmarshausen, M;2339;2560;2584;2635;2766;2955
09772444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09773;    Dillingen a.d.Donau (Lkr);28453;29213;29894;30561;31518;32053
09773111;      Aislingen, M;143;148;156;164;164;166
09773112;      Bachhagel;258;235;256;252;262;273
09773113;      Bächingen a.d.Brenz;99;112;110;120;143;139
09773116;      Binswangen;136;140;141;148;162;171
09773117;      Bissingen, M;839;918;997;1076;1149;1200
09773119;      Blindheim;98;99;106;108;120;126
09773122;      Buttenwiesen;1657;1672;1670;1603;1768;1903
09773125;      Dillingen a.d.Donau, GKSt;9962;10219;10393;10567;10870;11256
09773133;      Glött;301;300;301;304;288;288
09773136;      Gundelfingen a.d.Donau, St;3155;3211;3333;3456;3492;3584
09773137;      Haunsheim;89;94;100;111;117;119
