GENESIS-Tabelle: 13111-001;;;;;;;
Sozialversicherungspflichtig Beschäftigte: Gemeinden,;;;;;;;
Beschäftigte am Arbeitsort/Beschäftigte am Wohnort,;;;;;;;
Stichtag (letzte 6);;;;;;;
Beschäftigungsstatistik;;;;;;;
;;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort
;;30.06.2011;30.06.2012;30.06.2013;30.06.2014;30.06.2015;30.06.2016
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09186122;      Geisenfeld, St;1920;2003;2117;2249;2426;2546
09186125;      Gerolsbach;383;375;422;432;456;471
09186126;      Hettenshausen;336;329;341;352;396;342
09186128;      Hohenwart, M;1597;1738;1798;1869;1916;1943
09186130;      Ilmmünster;144;161;152;164;152;147
09186132;      Jetzendorf;538;542;497;513;523;533
09186137;      Manching, M;6827;6706;6809;6728;6655;6881
09186139;      Münchsmünster;936;1157;1164;1206;1171;1185
09186143;      Pfaffenhofen a.d.Ilm, St;8841;9686;9986;10230;10520;10893
09186144;      Pörnbach;227;217;228;236;276;236
09186146;      Reichertshausen;390;408;460;468;505;500
09186147;      Reichertshofen, M;1682;1887;1877;1895;1946;2032
09186149;      Rohrbach;801;901;969;1025;1101;1115
09186151;      Scheyern;692;697;707;714;772;746
09186152;      Schweitenkirchen;1211;1247;1322;1398;1405;1476
09186158;      Vohburg a.d.Donau, St;1586;1618;1735;1756;1818;1882
09186162;      Wolnzach, M;3184;3251;3447;3639;3669;3874
09187;    Rosenheim (Lkr);68594;71278;72826;74987;77944;79362
09187113;      Amerang;811;855;865;973;1027;1071
09187114;      Aschau i.Chiemgau;1320;1675;1763;1798;1778;1773
09187116;      Babensham;330;337;361;375;411;399
09187117;      Bad Aibling, St;5912;6202;6374;6517;7277;7073
09187118;      Bernau a.Chiemsee;1225;1370;1411;1482;1526;1561
09187120;      Brannenburg;1400;1529;1590;1626;1574;1785
09187121;      Breitbrunn a.Chiemsee;261;211;198;182;171;204
09187122;      Bruckmühl, M;3992;3987;4181;4240;4462;4677
09187123;      Chiemsee;294;296;284;282;272;292
09187124;      Edling;631;655;686;751;830;881
09187125;      Eggstätt;1133;1181;1179;871;1199;1189
09187126;      Eiselfing;933;957;982;1018;1084;1132
09187128;      Bad Endorf, M;2228;2315;2335;2411;2479;2568
09187129;      Bad Feilnbach;1387;1415;1417;1402;1442;1537
09187130;      Feldkirchen-Westerham;2794;2871;2872;2936;3117;3198
09187131;      Flintsbach a.Inn;360;386;400;414;431;473
09187132;      Frasdorf;536;523;541;544;540;614
09187134;      Griesstätt;378;446;502;521;563;585
09187137;      Großkarolinenfeld;677;732;764;814;813;841
09187138;      Gstadt a.Chiemsee;254;261;270;280;284;279
09187139;      Halfing;730;737;748;772;758;782
09187142;      Schechen;718;711;822;870;874;897
09187145;      Höslwang;138;136;143;154;167;176
09187148;      Kiefersfelden;1112;1129;1145;1203;1212;1254
09187150;      Kolbermoor, St;4341;4477;4561;4740;4837;4963
09187154;      Neubeuern, M;765;865;865;936;976;1017
09187156;      Nußdorf a.Inn;677;739;762;840;865;839
09187157;      Oberaudorf;1108;1133;1177;1195;1182;1200
09187159;      Pfaffing;1098;1131;1116;1082;1029;1038
09187162;      Prien a.Chiemsee, M;4861;5037;5142;5389;5574;5708
09187163;      Prutting;441;472;493;507;543;551
09187164;      Ramerberg;155;151;162;184;196;178
09187165;      Raubling;3740;3857;3823;3944;4048;4242
09187167;      Riedering;699;717;725;739;789;806
