;;Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS)
;;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung
;;Insgesamt;Wohnen;Gewerbe, Industrie;sonstige Gebäude- und Freifläche;Betriebsfläche (ohne Abbauland);Abbauland;Grünanlage;sonstige Erholungsfläche;Straße, Weg, Platz;sonstige Verkehrsfläche;Moor;Heide;Landwirtschaftsfläche (ohne Moor, Heide);Waldfläche;Wasserfläche;Unland;Friedhof;Flächen anderer Nutzung (ohne Unland, Friedhof)
;;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar
09174131;      Markt Indersdorf, M;684159;14226;1728;21208;1432;609;677;8994;23085;1000;-;-;497023;99454;2951;11304;468;-
09174135;      Odelzhausen;304439;9265;1337;8391;2543;40;135;6742;15684;-;-;-;168311;83721;1530;6639;101;-
09174136;      Petershausen;327886;9084;614;7663;413;-;165;1219;12159;3335;157;-;219673;63573;2017;7615;199;-
09174137;      Pfaffenhofen a.d.Glonn;208855;4350;236;3934;1688;516;-;400;7844;-;-;-;151203;34824;898;2901;61;-
09174141;      Röhrmoos;317480;8916;323;8969;866;-;296;2058;10980;1812;243;-;212632;63865;1065;4914;541;-
09174143;      Schwabhausen;302315;9925;485;7950;544;31;254;554;10537;574;-;-;203291;62591;997;4395;187;-
09174146;      Sulzemoos;190411;5154;516;5224;2715;-;187;557;11172;-;-;-;118129;42298;616;3781;62;-
09174147;      Hilgertshausen-Tandern;286813;6568;665;7737;775;1147;35;868;10195;-;-;-;186089;65298;648;6662;126;-
09174150;      Vierkirchen;193840;6628;693;6934;1282;-;238;1511;7236;1281;-;-;142089;18393;1024;6376;155;-
09174151;      Weichs;188122;5653;497;4905;490;342;310;271;6969;-;-;-;126248;34213;1546;6532;146;-
09175;    Ebersberg (Lkr);5493670;186760;28238;144850;10107;9833;13392;52071;215464;15502;4114;257;2648048;2045912;52386;63399;3337;-
09175111;      Anzing;161755;6108;988;7036;635;-;197;1089;10064;-;288;-;123401;7180;979;3723;67;-
09175112;      Aßling;313731;8239;824;8458;530;-;244;463;9227;3003;478;-;201981;75218;1541;3413;112;-
09175113;      Baiern;199671;2329;335;5500;270;-;252;451;5726;-;58;-;131291;51475;903;1021;60;-
09175114;      Bruck;215946;1863;292;4610;243;373;112;296;6495;624;202;121;131311;65546;1175;2633;50;-
09175115;      Ebersberg, St;408408;15831;1547;14019;1779;2223;1269;1156;15222;1052;127;58;205218;134958;7400;5909;640;-
09175116;      Egmating;191633;3680;457;3254;88;-;134;7326;6182;-;-;-;66464;102985;219;806;38;-
09175118;      Forstinning;122716;5903;1245;4902;676;682;223;645;8804;-;-;-;88239;7560;1251;2361;225;-
09175119;      Frauenneuharting;226850;2412;294;5851;60;-;256;176;5701;-;397;-;165373;43494;1057;1753;26;-
09175121;      Glonn, M;302426;7228;850;7864;326;260;612;573;10415;153;914;-;154023;114033;1986;3046;143;-
09175122;      Grafing b.München, St;295828;19147;1672;9847;679;16;1309;7317;12883;3183;453;-;162826;69810;1811;4577;298;-
09175123;      Hohenlinden;173204;5076;1492;6396;121;950;226;491;7019;-;-;-;89863;58969;248;2284;69;-
09175124;      Kirchseeon, M;179132;13008;3060;6730;371;1406;418;465;8043;2468;762;-;58736;80598;435;2364;268;-
09175127;      Markt Schwaben, M;108615;11697;2939;4915;709;-;1194;1571;6458;1476;-;-;64792;8844;993;2792;235;-
09175128;      Moosach;182080;2980;195;3864;142;43;122;351;5847;-;117;-;69108;93647;2971;2651;42;-
09175131;      Oberpframmern;184724;4358;943;2716;572;161;268;306;6235;-;-;-;57540;110561;80;917;67;-
09175132;      Vaterstetten;340854;37202;1452;15224;723;483;1399;2484;26358;1054;-;78;197933;51269;367;4419;409;-
09175133;      Pliening;227853;7502;1759;6609;692;1759;252;368;8764;-;-;-;158552;11217;24036;6255;88;-
09175135;      Poing;129223;11944;5186;7677;350;197;2990;5938;8217;997;-;-;72397;9086;417;3698;129;-
09175136;      Emmering;172245;2961;194;5007;202;16;21;285;4367;-;169;-;135656;20205;2021;1103;38;-
09175137;      Steinhöring;362951;5814;1985;9095;293;38;598;17912;10193;445;82;-;222641;87416;2222;4077;140;-
09175139;      Zorneding;237769;11478;529;4983;540;816;988;1152;11510;1047;67;-;84407;118275;131;1653;193;-
09175444;      Gemeindefreie Gebiete;756056;-;-;293;106;410;308;1256;21734;-;-;-;6296;723566;143;1944;-;-
09176;    Eichstätt (Lkr);12140590;253385;58306;184875;40741;59938;14333;31568;541684;22811;187;36386;5617550;4938671;85970;250000;4185;-
09176111;      Adelschlag;519827;6705;685;5971;1126;953;117;433;17760;2070;-;-;234341;242681;393;6535;57;-
09176112;      Altmannstein, M;1141764;17466;1254;18949;1327;955;642;1078;42157;-;42;2507;555568;475793;1239;22371;416;-
09176114;      Beilngries, St;1000661;18546;4444;18376;1577;3311;934;6650;49177;825;-;-;536738;328609;8336;22927;211;-
09176116;      Böhmfeld;162670;3176;92;1721;274;395;51;322;5859;-;-;77;66923;80655;24;3069;32;-
09176118;      Buxheim;225252;7840;321;3271;254;-;155;967;9906;1493;-;-;146978;44786;2962;6183;136;-
09176120;      Denkendorf;478363;10003;2507;6686;2323;679;310;715;25978;2512;-;-;184293;231794;677;9622;264;-
09176121;      Dollnstein, M;405118;6498;1656;3054;826;107;651;712;13756;3358;-;5960;118868;238691;4139;6761;81;-
09176122;      Egweil;93870;2929;428;1237;85;-;7;274;4229;680;-;-;66659;14795;213;2313;21;-
09176123;      Eichstätt, GKSt;477828;19131;4498;13783;1084;8118;1347;2003;24977;4764;-;1374;172621;205769;4459;13661;239;-
09176124;      Eitensheim;157101;5769;734;2517;822;-;287;246;9537;820;-;-;101072;31205;51;3963;78;-
